"Name","Start","End","Duration","Process"
"Please wait while the application opens","2022-12-20T23:15:44.0000000","2022-12-20T23:15:49.0000000","0:00:05","ManicTime"
"Microsoft® Windows® Operating System","2022-12-20T23:15:49.0000000","2022-12-20T23:15:54.0000000","0:00:05","Microsoft® Windows® Operating System"
"ManicTime - 标准（免费）","2022-12-20T23:15:54.0000000","2022-12-20T23:17:27.0000000","0:01:33","ManicTime"
"导入和导出","2022-12-20T23:17:27.0000000","2022-12-20T23:17:37.0000000","0:00:10","ManicTime"
"ManicTime - 标准（免费）","2022-12-20T23:17:37.0000000","2022-12-20T23:17:42.0000000","0:00:05","ManicTime"
"设置","2022-12-20T23:17:42.0000000","2022-12-20T23:17:58.0000000","0:00:16","ManicTime"
"Windows 资源管理器","2022-12-20T23:18:04.0000000","2022-12-20T23:18:09.0000000","0:00:05","Windows 资源管理器"
"ManicTime - 标准（免费）","2022-12-20T23:18:09.0000000","2022-12-20T23:18:14.0000000","0:00:05","ManicTime"
"设置","2022-12-20T23:18:14.0000000","2022-12-20T23:18:45.0000000","0:00:31","ManicTime"
"导入和导出","2022-12-20T23:18:45.0000000","2022-12-20T23:19:05.0000000","0:00:20","ManicTime"
"Excel","2022-12-20T23:19:05.0000000","2022-12-20T23:19:11.0000000","0:00:06","Microsoft Excel"
"ManicTime - 标准（免费）","2022-12-20T23:19:11.0000000","2022-12-20T23:19:22.0000000","0:00:11","ManicTime"
"时间轴编辑器","2022-12-20T23:19:22.0000000","2022-12-20T23:19:32.0000000","0:00:10","ManicTime"
"导入和导出","2022-12-20T23:19:32.0000000","2022-12-20T23:19:43.0000000","0:00:11","ManicTime"
"导出","2022-12-20T23:19:43.0000000","2022-12-20T23:19:48.0000000","0:00:05","ManicTime"
"ManicTimeData_2022-12-20.csv - Excel","2022-12-20T23:19:48.0000000","2022-12-20T23:19:54.0000000","0:00:06","Microsoft Excel"
"ManicTime - 标准（免费）","2022-12-20T23:19:54.0000000","2022-12-20T23:19:59.0000000","0:00:05","ManicTime"
"设置","2022-12-20T23:19:59.0000000","2022-12-20T23:20:04.0000000","0:00:05","ManicTime"
"ManicTimeData_2022-12-20.csv - Excel","2022-12-20T23:20:04.0000000","2022-12-20T23:20:13.0000000","0:00:09","Microsoft Excel"
"必应 - 个人 - Microsoft​ Edge","2022-12-20T23:20:13.0000000","2022-12-20T23:20:35.0000000","0:00:22","Microsoft Edge"
"任务切换","2022-12-20T23:20:35.0000000","2022-12-20T23:20:41.0000000","0:00:06","Windows 资源管理器"
